"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SMSI","Smith Micro Software, Inc.","5.42","$223.82M","1995","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/smsi",
"SMID","Smith-Midland Corporation","9.45","$48.99M","n/a","Capital Goods","Building Materials","https://old.nasdaq.com/symbol/smid",
"SMTX","SMTC Corporation","4.96","$139.95M","2000","Technology","Electrical Products","https://old.nasdaq.com/symbol/smtx",
"SNAP","Snap Inc.","50.07","$74.6B","2017","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/snap",
"SNA","Snap-On Incorporated","171.14","$9.28B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/sna",
"SNOW","Snowflake Inc.","281.4","$79.66B","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/snow",
"TLMD","SOC Telemed, Inc.","7.84","$601.91M","2020","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/tlmd",
"TLMDW","SOC Telemed, Inc.","1.22","n/a","2020","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/tlmdw",
"IPOC","Social Capital Hedosophia Holdings Corp. III","16.77","$1.74B","2020","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/ipoc",
"IPOC.U","Social Capital Hedosophia Holdings Corp. III","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/ipoc.u",
"IPOC.WS","Social Capital Hedosophia Holdings Corp. III","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ipoc.ws",
"IPOD","Social Capital Hedosophia Holdings Corp. IV","13.69","$787.18M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/ipod",
"IPOD.U","Social Capital Hedosophia Holdings Corp. IV","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/ipod.u",
"IPOD.WS","Social Capital Hedosophia Holdings Corp. IV","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ipod.ws",
"IPOE","Social Capital Hedosophia Holdings Corp. V","12.44","$1.25B","2020","Finance","Business Services","https://old.nasdaq.com/symbol/ipoe",
"IPOE.U","Social Capital Hedosophia Holdings Corp. V","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/ipoe.u",
"IPOE.WS","Social Capital Hedosophia Holdings Corp. V","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ipoe.ws",
"IPOF","Social Capital Hedosophia Holdings Corp. VI","12.3","$1.77B","2020","Finance","Business Services","https://old.nasdaq.com/symbol/ipof",
"IPOF.U","Social Capital Hedosophia Holdings Corp. VI","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/ipof.u",
"IPOF.WS","Social Capital Hedosophia Holdings Corp. VI","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ipof.ws",
"SQM","Sociedad Quimica y Minera S.A.","49.09","$12.92B","1993","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/sqm",
"SCKT","Socket Mobile, Inc.","2.38","$14.47M","n/a","Technology","Computer Manufacturing","https://old.nasdaq.com/symbol/sckt",
"GIGE","SoFi Gig Economy ETF","36.5866","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gige",
"SAII","Software Acquisition Group Inc. II","9.95","$214.55M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/saii",
"SAIIU","Software Acquisition Group Inc. II","10.65","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/saiiu",
"SAIIW","Software Acquisition Group Inc. II","1.3508","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/saiiw",
"SOGO","Sogou Inc.","8.15","$3.16B","2017","Technology","EDP Services","https://old.nasdaq.com/symbol/sogo",
"SOHU","Sohu.com Limited ","15.94","$625.94M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/sohu",
"SLRC","Solar Capital Ltd.","17.51","$739.99M","2010","n/a","n/a","https://old.nasdaq.com/symbol/slrc",
"SUNS","Solar Senior Capital Ltd.","14.46","$232.07M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/suns",
"SEDG","SolarEdge Technologies, Inc.","319.12","$16.34B","2015","Technology","Semiconductors","https://old.nasdaq.com/symbol/sedg",
"SOI","Solaris Oilfield Infrastructure, Inc.","8.14","$368.99M","2017","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/soi",
"SWI","SolarWinds Corporation","14.95","$4.69B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/swi",
"SLNO","Soleno Therapeutics, Inc.","1.93","$153.66M","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/slno",
"SLGL","Sol-Gel Technologies Ltd.","9.79","$225.18M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/slgl",
"SLDB","Solid Biosciences Inc.","7.58","$642.58M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/sldb",
"SNGX","Soligenix, Inc.","1.28","$38.2M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sngx",
"SNGXW","Soligenix, Inc.","0.235","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sngxw",
"XPL","Solitario Zinc Corp.","0.5623","$32.67M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/xpl",
